,Discovery Family  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Family  Tueday
0,5:45  -  5:59,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
1,6:00  -  6:14,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
2,6:15  -  6:29,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
3,6:30  -  6:44,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
4,6:45  -  6:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
5,6:00  -  6:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6,6:15  -  6:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
7,6:30  -  6:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
8,9:00  -  9:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
9,8:15  -  8:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
10,8:00  -  8:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
11,8:45  -  8:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
12,8:30  -  8:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
13,9:15  -  9:29,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"8:30  -  8:44,9:15  -  9:29"
14,8:30  -  8:44,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"8:30  -  8:44,9:15  -  9:29"
15,16:00  -  16:14,60551587,Copperbelt,Chilililabombwe,Urban,Female,2,None,C2,Completed high School,Others,Self employed,C2,Do not know,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
16,15:00  -  15:14,60551587,Copperbelt,Chilililabombwe,Urban,Female,2,None,C2,Completed high School,Others,Self employed,C2,Do not know,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
17,15:45  -  15:59,60551587,Copperbelt,Chilililabombwe,Urban,Female,2,None,C2,Completed high School,Others,Self employed,C2,Do not know,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
18,15:30  -  15:44,60551587,Copperbelt,Chilililabombwe,Urban,Female,2,None,C2,Completed high School,Others,Self employed,C2,Do not know,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
19,15:15  -  15:29,60551587,Copperbelt,Chilililabombwe,Urban,Female,2,None,C2,Completed high School,Others,Self employed,C2,Do not know,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
