,Discovery Science  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Science  Yesterday
0,10:45  -  10:59,82624379,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44"
1,10:00  -  10:14,82624379,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44"
2,8:45  -  8:59,82624379,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44"
3,11:30  -  11:44,82624379,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44"
4,10:15  -  10:29,82267635,Copperbelt,Ndola,Urban,Male,2,Two or More,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,10:15  -  10:29
5,10:00  -  10:14,134978945,Muchinga,Mpika,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
6,10:45  -  10:59,134978945,Muchinga,Mpika,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
7,10:15  -  10:29                                                                                                                                          8:45  -  8:59,134978945,Muchinga,Mpika,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
8,11:30  -  11:44,134978945,Muchinga,Mpika,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
9,10:00  -  10:14,134824347,Central,Mkushi,Rural,Female,0,,DE,Primary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
