,Disney Channel  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Disney Channel  Saturday
0,14:45  -  14:59,60541877,Central,Chibombo,Urban,Female,1,One,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
1,15:00  -  15:14,60541877,Central,Chibombo,Urban,Female,1,One,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
2,15:15  -  15:29,60541877,Central,Chibombo,Urban,Female,1,One,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
3,15:00  -  15:14,60560264,Copperbelt,Luanshya,Urban,Male,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 6,103   -  K 7,892",Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
4,15:45  -  15:59,60560264,Copperbelt,Luanshya,Urban,Male,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 6,103   -  K 7,892",Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
5,15:30  -  15:44,60560264,Copperbelt,Luanshya,Urban,Male,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 6,103   -  K 7,892",Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
6,15:15  -  15:29,60560264,Copperbelt,Luanshya,Urban,Male,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 6,103   -  K 7,892",Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
7,14:15  -  14:29,60567059,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
8,14:45  -  14:59,60567059,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
9,15:00  -  15:14,60567059,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
10,7:30  -  7:44,60567059,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
11,14:00  -  14:14,60567059,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
12,15:30  -  15:44,60567059,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
13,8:15  -  8:29,60567059,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
14,8:00  -  8:14,60567059,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
15,7:45  -  7:59,60567059,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
16,14:30  -  14:44,60567059,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
