,Disney XD  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Disney XD  Monday
0,19:00  -  19:14,60543023,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
1,18:00  -  18:14,60543023,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
2,19:15  -  19:29,60543023,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
3,18:45  -  18:59,60543023,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
4,18:15  -  18:29,60543023,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
5,18:30  -  18:44,60543023,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
6,13:45  -  13:59,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
7,14:15  -  14:29,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
8,14:45  -  14:59,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
9,12:45  -  12:59,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
10,12:00  -  12:14,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
11,15:00  -  15:14,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
12,14:00  -  14:14,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
13,13:30  -  13:44,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
14,13:00  -  13:14,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
15,13:15  -  13:29,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
16,14:30  -  14:44,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
17,12:15  -  12:29,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
18,12:30  -  12:44,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
19,15:15  -  15:29,60722387,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
20,21:00  -  21:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
21,21:30  -  21:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
22,21:15  -  21:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
23,20:45  -  20:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
24,12:15  -  12:29,82191573,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,12:15  -  12:29
25,13:45  -  13:59,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                                                                                                                                                                                                                                                                                                                                 20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
26,18:45  -  18:59,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                                                                                                                                                                                                                                                                                                                                 20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
27,13:00  -  13:14,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                                                                                                                                                                                                                                                                                                                                 20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
28,18:15  -  18:29,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                                                                                                                                                                                                                                                                                                                                 20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
29,15:15  -  15:29                                                                                                                                                                                                                                                                                                                                                                                                 20:45  -  20:59,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                                                                                                                                                                                                                                                                                                                                 20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
30,12:30  -  12:44,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                                                                                                                                                                                                                                                                                                                                 20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
31,19:00  -  19:14,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                                                                                                                                                                                                                                                                                                                                 20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
32,14:45  -  14:59,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                                                                                                                                                                                                                                                                                                                                 20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
33,12:15  -  12:29,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                                                                                                                                                                                                                                                                                                                                 20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
