,Disney XD  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Disney XD  Sunday
0,21:00  -  21:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
1,21:30  -  21:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
2,21:15  -  21:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
3,20:45  -  20:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
4,12:15  -  12:29,82191573,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,12:15  -  12:29
5,21:00  -  21:14,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
6,21:30  -  21:44                                                                    12:15  -  12:29,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
7,21:15  -  21:29,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
8,20:45  -  20:59,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
9,21:00  -  21:14,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
10,21:30  -  21:44                                                                    12:15  -  12:29,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
11,21:15  -  21:29,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
12,20:45  -  20:59,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
