,Disney XD  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Disney XD  Wednesday
0,19:00  -  19:14,60543023,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
1,18:00  -  18:14,60543023,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
2,19:15  -  19:29,60543023,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
3,18:45  -  18:59,60543023,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
4,18:15  -  18:29,60543023,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
5,18:30  -  18:44,60543023,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
6,21:00  -  21:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
7,21:30  -  21:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
8,21:15  -  21:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
9,20:45  -  20:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
10,12:15  -  12:29,82191573,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,12:15  -  12:29
11,21:15  -  21:29,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
12,19:00  -  19:14,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
13,18:00  -  18:14,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
14,18:45  -  18:59,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
15,21:00  -  21:14,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
16,18:15  -  18:29,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
17,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
18,18:30  -  18:44,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
19,21:30  -  21:44                                                                    12:15  -  12:29,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
20,21:15  -  21:29,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
21,19:00  -  19:14,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
22,18:00  -  18:14,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
23,18:45  -  18:59,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
24,21:00  -  21:14,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
25,18:15  -  18:29,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
26,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
27,18:30  -  18:44,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
28,21:30  -  21:44                                                                    12:15  -  12:29,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
