,E Africa  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E Africa  Yesterday
0,13:45  -  13:59,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
1,16:00  -  16:14,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
2,16:15  -  16:29,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
3,13:30  -  13:44,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
4,13:00  -  13:14,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
5,16:45  -  16:59,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
6,13:15  -  13:29,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
7,16:30  -  16:44,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
8,7:30  -  7:44,60525356,Central,Kabwe,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"7:30  -  7:44,7:45  -  7:59"
9,7:45  -  7:59,60525356,Central,Kabwe,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"7:30  -  7:44,7:45  -  7:59"
10,20:30  -  20:44,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
11,19:00  -  19:14,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
12,19:15  -  19:29,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
13,19:30  -  19:44,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
14,21:00  -  21:14,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
15,20:00  -  20:14,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
16,20:45  -  20:59,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
17,19:45  -  19:59,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18,20:15  -  20:29,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19,16:00  -  16:14,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
20,15:30  -  15:44,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
21,15:45  -  15:59,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
22,15:45  -  15:59,82184233,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,15:45  -  15:59
23,17:15  -  17:29,82267136,North-Western,Solwezi,Urban,Female,0,None,C1,Some high school,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
24,17:45  -  17:59,82267136,North-Western,Solwezi,Urban,Female,0,None,C1,Some high school,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
25,17:30  -  17:44,82267136,North-Western,Solwezi,Urban,Female,0,None,C1,Some high school,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
26,20:15  -  20:29,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
27,21:00  -  21:14,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
28,20:00  -  20:14,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
29,20:45  -  20:59,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
30,20:30  -  20:44,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
31,13:00  -  13:14,82113725,Southern,Livingstone,Urban,Male,0,None,DE,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,13:00  -  13:14,15:00  -  15:14,17:45  -  17:59"
32,15:00  -  15:14,82113725,Southern,Livingstone,Urban,Male,0,None,DE,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,13:00  -  13:14,15:00  -  15:14,17:45  -  17:59"
33,17:45  -  17:59,82113725,Southern,Livingstone,Urban,Male,0,None,DE,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,13:00  -  13:14,15:00  -  15:14,17:45  -  17:59"
34,9:00  -  9:14,82113725,Southern,Livingstone,Urban,Male,0,None,DE,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,13:00  -  13:14,15:00  -  15:14,17:45  -  17:59"
35,13:45  -  13:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
36,12:45  -  12:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
37,12:00  -  12:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
38,13:30  -  13:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
39,13:00  -  13:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
40,13:15  -  13:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
41,12:15  -  12:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
42,12:30  -  12:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
