,E! Entertainment  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E! Entertainment  Saturday
0,17:45  -  17:59,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29"
1,17:00  -  17:14,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29"
2,17:30  -  17:44,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29"
3,18:00  -  18:14,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29"
4,18:15  -  18:29,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29"
5,16:45  -  16:59,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29"
6,17:15  -  17:29,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29"
7,16:00  -  16:14,60683883,Central,Kabwe,Rural,Female,1,None,AB,Some university,Anglican/Protestant,Working Full-Time,Do not know,"K 2,500   -  K 3,154",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
8,16:15  -  16:29,60683883,Central,Kabwe,Rural,Female,1,None,AB,Some university,Anglican/Protestant,Working Full-Time,Do not know,"K 2,500   -  K 3,154",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
9,16:30  -  16:44,60683883,Central,Kabwe,Rural,Female,1,None,AB,Some university,Anglican/Protestant,Working Full-Time,Do not know,"K 2,500   -  K 3,154",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
10,16:45  -  16:59,60683883,Central,Kabwe,Rural,Female,1,None,AB,Some university,Anglican/Protestant,Working Full-Time,Do not know,"K 2,500   -  K 3,154",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
11,19:00  -  19:14,60706990,Lusaka,Lusaka district,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
12,19:15  -  19:29,60706990,Lusaka,Lusaka district,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
13,19:30  -  19:44,60706990,Lusaka,Lusaka district,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
14,20:00  -  20:14,60706990,Lusaka,Lusaka district,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
15,19:45  -  19:59,60706990,Lusaka,Lusaka district,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
16,20:15  -  20:29,60706990,Lusaka,Lusaka district,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
17,18:45  -  18:59,60831230,Lusaka,Lusaka district,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18,19:00  -  19:14,60831230,Lusaka,Lusaka district,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
19,18:30  -  18:44,60831230,Lusaka,Lusaka district,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
20,11:15  -  11:29,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
21,11:00  -  11:14,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
22,11:30  -  11:44,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
