,Fox Entertainment  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fox Entertainment  Yesterday
0,12:45  -  12:59,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
1,12:00  -  12:14,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
2,11:45  -  11:59,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
3,12:15  -  12:29,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
4,12:30  -  12:44,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
5,16:00  -  16:14,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
6,16:15  -  16:29,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
7,17:45  -  17:59,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
8,17:00  -  17:14,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
9,17:30  -  17:44,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
10,16:45  -  16:59,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
11,17:15  -  17:29,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
12,16:30  -  16:44,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
