,Fox News  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fox News  Yesterday
0,19:45  -  19:59,60542679,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,No,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
1,19:15  -  19:29,60542679,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,No,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
2,19:00  -  19:14,60542679,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,No,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
3,19:30  -  19:44,60542679,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,No,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
4,19:45  -  19:59,134779234,Central,Mkushi,Rural,Female,1,,C2,Secondary,Other,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
5,19:15  -  19:29,134779234,Central,Mkushi,Rural,Female,1,,C2,Secondary,Other,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
6,19:00  -  19:14,134779234,Central,Mkushi,Rural,Female,1,,C2,Secondary,Other,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
7,19:30  -  19:44,134779234,Central,Mkushi,Rural,Female,1,,C2,Secondary,Other,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
8,19:45  -  19:59,134847534,Muchinga,Mpika,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 3,891  -  K 4,627",,19 – 24,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
9,19:15  -  19:29,134847534,Muchinga,Mpika,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 3,891  -  K 4,627",,19 – 24,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
10,19:00  -  19:14,134847534,Muchinga,Mpika,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 3,891  -  K 4,627",,19 – 24,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
11,19:30  -  19:44,134847534,Muchinga,Mpika,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 3,891  -  K 4,627",,19 – 24,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
12,19:45  -  19:59,134817237,Muchinga,Mpika,Urban,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,25 – 34,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
13,19:15  -  19:29,134817237,Muchinga,Mpika,Urban,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,25 – 34,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
14,19:00  -  19:14,134817237,Muchinga,Mpika,Urban,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,25 – 34,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
15,19:30  -  19:44,134817237,Muchinga,Mpika,Urban,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,25 – 34,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
16,19:45  -  19:59,135084803,Muchinga,Chinsali,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
17,19:15  -  19:29,135084803,Muchinga,Chinsali,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
