,Hope Channel  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hope Channel  Friday
0,20:30  -  20:44,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"20:15  -  20:29,20:30  -  20:44"
1,20:15  -  20:29,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"20:15  -  20:29,20:30  -  20:44"
2,20:00  -  20:14,82008677,Southern,Livingstone,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 3,891  -  K 4,627",Yes,35 – 44,"19:00  -  19:14,20:00  -  20:14"
3,19:00  -  19:14,82008677,Southern,Livingstone,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 3,891  -  K 4,627",Yes,35 – 44,"19:00  -  19:14,20:00  -  20:14"
4,20:30  -  20:44,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
5,20:00  -  20:14,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
6,20:45  -  20:59,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
7,20:15  -  20:29,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
8,20:30  -  20:44,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
9,20:00  -  20:14,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
