,Hope Channel  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hope Channel  Thursday
0,21:30  -  21:44,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"20:00  -  20:14,21:30  -  21:44,22:45  -  22:59"
1,20:00  -  20:14,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"20:00  -  20:14,21:30  -  21:44,22:45  -  22:59"
2,22:45  -  22:59,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"20:00  -  20:14,21:30  -  21:44,22:45  -  22:59"
3,19:00  -  19:14,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
4,18:00  -  18:14,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
5,19:15  -  19:29,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
6,19:30  -  19:44,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
7,18:45  -  18:59,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
8,18:15  -  18:29,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
9,20:00  -  20:14,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
10,18:30  -  18:44,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
11,19:45  -  19:59,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
12,20:15  -  20:29,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
13,20:00  -  20:14,82008677,Southern,Livingstone,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 3,891  -  K 4,627",Yes,35 – 44,"19:00  -  19:14,20:00  -  20:14"
