,Hope Channel  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hope Channel  Wednesday
0,22:00  -  22:14,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"20:45  -  20:59,21:30  -  21:44,22:00  -  22:14"
1,21:30  -  21:44,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"20:45  -  20:59,21:30  -  21:44,22:00  -  22:14"
2,20:45  -  20:59,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"20:45  -  20:59,21:30  -  21:44,22:00  -  22:14"
3,22:00  -  22:14,60562100,Lusaka,Kafue,Urban,Male,0,None,AB,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,"18:00  -  18:14,22:00  -  22:14,0:00  -  0:14"
4,0:00  -  0:14,60562100,Lusaka,Kafue,Urban,Male,0,None,AB,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,"18:00  -  18:14,22:00  -  22:14,0:00  -  0:14"
5,18:00  -  18:14,60562100,Lusaka,Kafue,Urban,Male,0,None,AB,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,"18:00  -  18:14,22:00  -  22:14,0:00  -  0:14"
6,19:00  -  19:14,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
7,18:00  -  18:14,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
8,19:15  -  19:29,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
9,19:30  -  19:44,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
