,ID Investigation Discovery  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,ID Investigation Discovery  Yesterday
0,17:45  -  17:59,60826815,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
1,17:00  -  17:14,60826815,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
2,17:30  -  17:44,60826815,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
3,18:00  -  18:14,60826815,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
4,17:15  -  17:29,60826815,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
5,17:45  -  17:59,134593168,Muchinga,Isoka,Urban,Male,1,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14                                                                                                                                                                                                                                                                                                                                                        "
6,17:00  -  17:14,134593168,Muchinga,Isoka,Urban,Male,1,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14                                                                                                                                                                                                                                                                                                                                                        "
7,17:30  -  17:44,134593168,Muchinga,Isoka,Urban,Male,1,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14                                                                                                                                                                                                                                                                                                                                                        "
8,18:00  -  18:14,134593168,Muchinga,Isoka,Urban,Male,1,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14                                                                                                                                                                                                                                                                                                                                                        "
9,17:15  -  17:29,134593168,Muchinga,Isoka,Urban,Male,1,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14                                                                                                                                                                                                                                                                                                                                                        "
